日期,工作名稱,公司名稱,公司地址,薪資,工作內容,地區,經歷,學歷,公司人數,文章編號,工作網址
2/11,Node.js Developer 軟體工程師(LED),雲端互動股份有限公司,台北市大安區,待遇面議,"Responsibilities:· Develop and maintain backend and frontend code.· Learn new things quickly and teach others when necessary.· Work as a team. We succeed as a team and we fail as a TEAM.Requirements:· 2+ years of experience working Node.js.· 2+ years of experience working with database· 1+ years of experience working with modern web development technologies and tools.· 2+ years of developing RESTful web services and developing and managing an API platform.· Excellent analytical skills, problem solving, critical thinking and communication skills· Able to work independently with a sense of responsibility· Solid coding practices including design documentation, unit testing, and peer code reviews加分條件 Additional Requirements:· Experience with cloud platforms like GCP, Firebase· Willing to communicate in English and learn English.· Experience with solution architecture and technology management",台北市大安區,3年以上,專科,員工90人,7aj26,www.104.com.tw/job/7aj26?jobsource=jolist_c_relevance
2/11,ASP.NET  軟體工程師 (捷運關渡站附近),殷富資訊股份有限公司,台北市北投區,待遇面議,協助網站前後平台建置 具備條件：1.     ASP.NET 系統開發，使用 ASP.Net(C#) & MS SQL，開發 CMS/API。 2.     以PG為主要工作內容，如能自行分析需求，獨立撰寫文件，加分3.     具備良好的溝通能力、團隊合作，以及能獨立作業 技能要求：1.     網站前後平台建置以ASP.NET(C#)開發，可獨立完成程式2.     熟悉SQL 語法，會撰寫StoredProcedure/Function 3.     具團隊合作經驗，會使用git版控,台北市北投區,2年以上,專科,,7ixlo,www.104.com.tw/job/7ixlo?jobsource=jolist_c_relevance
2/14,Java專案軟體工程師(3-5年開發經驗),良匠科技有限公司,台北市中山區中山北路二段168號8F,待遇面議,"1.模擬、修正現有網路系統程式。2.設計、開發新的網路程式及界面。3.進行網路程式的需求分析。4.熟悉 web-based系統與應用程式開發.熟悉MVC架構(Sprig MVC, Struts1或Struts2)6.熟SQL語法7.客戶端系統開發",台北市中山區,3年以上,專科,距捷運民權西路站260公尺,6p3fl,www.104.com.tw/job/6p3fl?jobsource=jolist_c_relevance
2/16,APP軟體工程師(iOS),中國信託綜合證券股份有限公司,台北市南港區經貿二路188號13樓,待遇面議,1.  配合系統開發iOS平台APP (中信亮點、中信服務讚…)2.  iOS軟體、測試、上架與維護3.  依照專案規格、文件與團隊一起開發APP軟體，測試與維護,台北市南港區,3年以上,大學,員工500人,75xpn,www.104.com.tw/job/75xpn?jobsource=jolist_c_relevance
2/10,C#軟體工程師,信星鞋業_英屬維京群島商伯星國際股份有限公司台灣分公司,彰化縣大村鄉大村鄉過溝村過溝三巷1-10號,"25,250","1.	配合公司的ERP需求，與相關單位討論並提出可執行的方式，並題解決與異常處理。2.	電子表單簽核流程維護，將完整的流程表單撰寫出來。3.	使用者問題分析與回饋。4.	協助專案評估及開發進度的追蹤。.	願意學習ERP相關實務操作。附加條件：1.熟悉ASP.NET網頁框架、JavaScript/CSS/HTML語言基本操作尤佳.2.熟悉資料庫語言和工具，如：MYSQL、MSSQL等, 有實務開發經驗尤佳。3.需配合出差。",彰化縣大村鄉,2年以上,專科,,5wjkg,www.104.com.tw/job/5wjkg?jobsource=jolist_c_relevance
2/13,IoT雲端Java軟體工程師(內湖瑞光路),Advantech_研華股份有限公司,台北市內湖區瑞光路26巷20弄1號,待遇面議,[工作內容]1.在雲端K8s平台開發 IoT裝置的資料收集、處理與分析程式2.在雲端K8s平台開發IoT裝置的管理程式3.與其他雲端服務進行API串接與MQTT訊息溝通[條件要求]1.具2年以上Java程式開發經驗2.大學以上之資工、資訊、電機相關系所畢業,台北市內湖區,2年以上,大學,上市上櫃,78wzl,www.104.com.tw/job/78wzl?jobsource=jolist_c_relevance
2/17,軟體工程師(K3-台中),凌群電腦股份有限公司,台中市北區中清路一段370號12樓,"28,000",開發及維護線上 WEB 系統※薪資依學經歷敘薪※ ,台中市北區,經歷不拘,大學,上市上櫃,78owr,www.104.com.tw/job/78owr?jobsource=jolist_c_relevance
2/14,.NET軟體工程師(大安區知名外商),億力資訊股份有限公司,台北市大安區,待遇面議,1.熟悉.Net  (framework/core)、SQL、K8S、MVC。2.熟悉Web應用程式撰寫實務經驗3年以上。3.熟悉使用Visual Studio .net或Visual Studio開發環境。4.具獨力開發能力／經驗。.具積極進取、負責、敬業樂群、團隊合作、能配合公司規定。6.須配合專案需求至客戶端定點工作。,台北市大安區,3年以上,專科,員工180人,2xynl,www.104.com.tw/job/2xynl?jobsource=jolist_c_relevance
2/17,軟體工程師(電信軟體),凌群電腦股份有限公司,台北市萬華區峨眉街115號6樓,"28,000",程式開發、測試，文件撰寫※薪資依學經歷敘薪,台北市萬華區,1年以上,大學,上市上櫃,7bdhw,www.104.com.tw/job/7bdhw?jobsource=jolist_c_relevance
2/14,Java後端軟體工程師-1WS61S,奇唯科技股份有限公司,台北市大同區長安西路106號3樓,待遇面議,1.Spring Boot系統架構設計與開發。 2.技術文件撰寫。 3.新技術之研究。 ,台北市大同區,3年以上,大學,員工170人,7hree,www.104.com.tw/job/7hree?jobsource=jolist_c_relevance
